INDICATOR,GEO_PICT,TIME_PERIOD,OBS_VALUE,OBS_VALUE_WINS
DT_TDS_DECT,WS,1987,25.18,25.18
DT_TDS_DECT,WS,1988,18.94,18.94
DT_TDS_DECT,WS,1989,13.9,13.9
DT_TDS_DECT,WS,1990,10.62,10.62
DT_TDS_DECT,WS,1991,10.75,10.75
DT_TDS_DECT,WS,1992,9.86,9.86
DT_TDS_DECT,WS,1993,8.72,8.72
DT_TDS_DECT,WS,1994,10.07,10.07
DT_TDS_DECT,WS,1995,6.57,6.57
DT_TDS_DECT,WS,1996,5.76,5.76
DT_TDS_DECT,WS,1997,5.44,5.44
DT_TDS_DECT,WS,1998,4.64,4.64
DT_TDS_DECT,WS,1999,5.74,5.74
DT_TDS_DECT,WS,2004,5.5,5.5
DT_TDS_DECT,WS,2005,3.95,3.95
DT_TDS_DECT,WS,2006,4.56,4.56
DT_TDS_DECT,WS,2007,3.7,3.7
DT_TDS_DECT,WS,2008,4.17,4.17
DT_TDS_DECT,WS,2009,4.7,4.7
DT_TDS_DECT,WS,2010,5.03,5.03
DT_TDS_DECT,WS,2011,5.55,5.55
DT_TDS_DECT,WS,2012,5.82,5.82
DT_TDS_DECT,WS,2013,5.97,5.97
DT_TDS_DECT,WS,2014,7.81,7.81
DT_TDS_DECT,WS,2015,8.76,8.76
DT_TDS_DECT,WS,2016,8.95,8.95
DT_TDS_DECT,WS,2017,9.01,9.01
DT_TDS_DECT,WS,2018,9.93,9.93
DT_TDS_DECT,WS,2019,8.82,8.82
DT_TDS_DECT,WS,2020,18.68,18.68
DT_TDS_DECT,WS,2021,14.17,14.17
DT_TDS_DECT,WS,2022,18.83,18.83
DT_TDS_DECT,WS,2023,9.82,9.82
SL_TLF_UEM,TV,2002,6.53,6.53
SL_TLF_UEM,TV,2015,18.5,18.5
SL_TLF_UEM,TV,2016,8.49,8.49
SL_TLF_UEM,TV,2017,26.55,26.55
SL_TLF_UEM,TV,2022,7.32,7.32
SL_EMP_EARN,VU,2010,707.91,348.74922
SPC_17_3_1,KI,2000,0.72181,0.72181
SPC_17_3_1,KI,2001,-0.27348,-0.27348
SPC_17_3_1,KI,2002,0.24979,0.24979
SPC_17_3_1,KI,2003,0.67076,0.67076
SPC_17_3_1,KI,2004,1.95367,1.95367
SPC_17_3_1,KI,2005,2.60602,2.60602
SPC_17_3_1,KI,2006,0.56843,0.56843
SPC_17_3_1,KI,2007,1.15305,1.15305
SPC_17_3_1,KI,2008,-1.26768,-1.26768
SPC_17_3_1,KI,2009,5,5
SPC_17_3_1,KI,2010,-6.602,-5.1
SPC_17_3_1,KI,2011,-0.349,-0.349
SPC_17_3_1,KI,2012,-2.386,-2.386
SPC_17_3_1,KI,2013,0.838,0.838
SPC_17_3_1,KI,2014,2.632,2.632
SPC_17_3_1,KI,2015,-0.82,-0.82
SPC_17_3_1,KI,2016,1.807,1.807
SPC_17_3_1,KI,2017,0.785,0.785
SPC_17_3_1,KI,2018,-1.14436,-1.14436
SPC_17_3_1,KI,2019,0.48255,0.48255
SL_TLF_UEM,TV,2015,11.5,11.5
FB_BNK_ACCSS,VU,2016,25.1,25.1
SL_TLF_NEET,MH,2019,36.1,36.1
SL_TLF_UEM,VU,2019,7.1,7.1
SL_TLF_UEM,PW,2013,0.8,0.8
SL_TLF_UEM,VU,2019,0.8,0.8
SL_TLF_UEM,MH,2019,0.2,0.2
SL_TLF_UEM,VU,2019,5.6,5.6
SL_TLF_UEM,SB,2012,6.9,6.9
SL_TLF_UEM,SB,2012,7.3,7.3
SL_TLF_UEM,PW,2015,1.3,1.3
SI_POV_NAHC,PW,2013,16.5,16.5
SL_TLF_NEET,KI,2019,55.4,55.4
SL_TLF_UEM,FM,2013,19.5,19.5
SI_POV_DAY1,SB,2016,8,8
NY_GDP_PCAP,WS,2000,6.3,6.3
NY_GDP_PCAP,WS,2001,7.2,7.2
NY_GDP_PCAP,WS,2002,2.4,2.4
NY_GDP_PCAP,WS,2003,5.1,5.1
NY_GDP_PCAP,WS,2004,3.9,3.9
NY_GDP_PCAP,WS,2005,4.6,4.6
NY_GDP_PCAP,WS,2006,0.6,0.6
NY_GDP_PCAP,WS,2007,6,6
NY_GDP_PCAP,WS,2008,-2.5,-2.5
NY_GDP_PCAP,WS,2009,-1.8,-1.8
NY_GDP_PCAP,WS,2010,0.8,0.8
NY_GDP_PCAP,WS,2011,0.8,0.8
NY_GDP_PCAP,WS,2012,-4.7,-4.7
NY_GDP_PCAP,WS,2013,1.8,1.8
NY_GDP_PCAP,WS,2014,1.7,1.7
NY_GDP_PCAP,WS,2015,5.2,5.2
NY_GDP_PCAP,WS,2016,3.6,3.6
NY_GDP_PCAP,WS,2017,-1.4,-1.4
NY_GDP_PCAP,WS,2018,1.9,1.9
NY_GDP_PCAP,WS,2019,1.7,1.7
NY_GDP_PCAP,WS,2020,-11,-5.1
NY_GDP_PCAP,WS,2021,-3.1,-3.1
NY_GDP_PCAP,WS,2022,-0.7,-0.7
NY_GDP_PCAP,WS,2023,9.5,9.5
SI_POV_DAY1,WS,2008,1,1
SI_POV_DAY1,WS,2013,1.18,1.18
SL_EMP_EARN,WS,2012,18.04,18.04
SL_EMP_EARN,WS,2017,15.82,15.82
